rank,product,metric,model,MAE,RMSE,sMAPE,ActualSum,ForecastSum,SumPctErr
1,Choco Truffle Cake,totalValue,Prophet,22470.679698183998,23854.576120659847,60.37644713512018,353468.85,645587.6860763918,82.64344540583757
1,Choco Truffle Cake,totalValue,AutoARIMA,8689.111619147057,10483.557111688628,30.54662023623007,353468.85,464265.81271710055,31.345608733867376
1,Choco Truffle Cake,totalValue,AutoETS,8794.671435698121,10927.496061686428,31.05142525856562,353468.85,458837.04918144236,29.809755281531142
1,Choco Truffle Cake,totalValue,Croston,8854.395034992996,10991.635438054562,31.210511518952455,353468.85,459958.52565709065,30.127032596250185
1,Choco Truffle Cake,totalValue,LightGBM,12295.98392672483,14303.991790264576,38.62631703476627,353468.85,500833.1831588269,41.6908967109342
1,Choco Truffle Cake,totalValue,mean_all,12019.006071764878,13382.312714175341,39.261860774562386,353468.85,505896.45135817054,43.123347745684114
1,Choco Truffle Cake,totalValue,median_all,10354.222371845895,12003.631142022172,35.15157172776363,353468.85,479822.45093508746,35.74674287001174
1,Choco Truffle Cake,totalValue,mean_no_prophet,9617.287626621302,11270.286319977631,33.164474656062794,353468.85,470973.6426786151,33.24332333064572
1,Choco Truffle Cake,totalValue,median_no_prophet,9066.596487962986,10823.385472848555,31.795190669170083,353468.85,462997.047023406,30.98666177328103
1,Choco Truffle Cake,totalValue,mean_classical,8724.388859920127,10678.223993315993,30.87285454582866,353468.85,461020.4625185446,30.427465537216253
1,Choco Truffle Cake,totalValue,median_classical,8814.579302129745,10946.257581605345,31.105646469952752,353468.85,459440.9211298684,29.980596912533723
2,Pineapple Cake,totalValue,Prophet,15400.281562645063,15803.493573128962,92.63402732768017,118198.64,318402.3003143858,169.37898804452044
2,Pineapple Cake,totalValue,AutoARIMA,2814.3213505258586,3407.1802812094047,29.81608696459678,118198.64,148740.8026801218,25.839690439857677
2,Pineapple Cake,totalValue,AutoETS,3059.2069752661005,3600.261701140744,32.03924245830771,118198.64,152083.4541171387,28.66768527720682
2,Pineapple Cake,totalValue,Croston,3110.924233363936,3670.39553848928,32.44763436050479,118198.64,153332.056491215,29.724044617784926
2,Pineapple Cake,totalValue,LightGBM,2542.087876112611,3255.273025185509,27.063418657759016,118198.64,135306.64289850148,14.473942253905358
2,Pineapple Cake,totalValue,mean_all,4874.954715405582,5519.1873093817,44.906484064968424,118198.64,181573.05130027255,53.61687012665506
2,Pineapple Cake,totalValue,median_all,3096.1478739074114,3649.0388359017516,32.33072618695131,118198.64,152947.87114534536,29.39901097453013
2,Pineapple Cake,totalValue,mean_no_prophet,2789.773090838247,3362.994874500915,29.69457445480255,118198.64,147365.73904674425,24.676340647188706
2,Pineapple Cake,totalValue,median_no_prophet,2957.684862568572,3494.417154457114,31.178936193025216,118198.64,150347.03126317932,27.198613506195436
2,Pineapple Cake,totalValue,mean_classical,2994.8175197186315,3534.0018807577508,31.491259420877704,118198.64,151385.43776282517,28.07714011161649
2,Pineapple Cake,totalValue,median_classical,3081.371514450887,3632.3478124340622,32.21156544407018,118198.64,152755.77847241054,29.236494152902726
3,Fresh Fruit Cake,totalValue,Prophet,4397.694169743884,4912.100409187873,40.48068504316316,117903.69,175073.7142066705,48.48874891589101
3,Fresh Fruit Cake,totalValue,AutoARIMA,6321.449338863166,6572.893925241083,53.045733195054304,117903.69,200082.53140522112,69.69997411041258
3,Fresh Fruit Cake,totalValue,AutoETS,2874.990170838594,3421.2635658657323,29.17524418214621,117903.69,155278.5622209017,31.699493222732627
3,Fresh Fruit Cake,totalValue,Croston,2715.2424681342227,3288.16325103566,27.870488587439908,117903.69,153201.8420857449,29.93812329855401
3,Fresh Fruit Cake,totalValue,LightGBM,1543.3424102542367,2328.712112675299,17.02471304438372,117903.69,126175.63511042544,7.0158492159367025
