rank,product,historical_total,forecast_horizon_days,forecast_sum,forecast_mean_daily
1,Bakingo Sticker Roll For Cake Box,120031.0,180,204393.18111635168,1135.5176728686204
2,Bakingo Spoon and Tissue Packing,69200.0,180,37611.00445378243,208.9500247432357
3,Bakingo Single Pastry Box,62500.0,180,20497.73014486352,113.87627858257511
4,Bakingo Knife Candle Packing,60600.0,180,29171.317256924915,162.06287364958285
5,1/2 Kg Carry Bag Bakingo,55250.0,180,32522.093566038013,180.67829758910008
