rank,product,metric,fold,fold_idx,cutoff,model,MAE,RMSE,sMAPE,ActualSum,ForecastSum,SumPctErr
1,Choco Truffle Cake,totalValue,CV-0,0,2025-03-17,Prophet,27790.9223721793,29623.580044810224,58.557949346552704,464105.0672,825387.0580383309,77.84487099397282
1,Choco Truffle Cake,totalValue,CV-0,0,2025-03-17,AutoARIMA,9955.097771610328,11258.401768369311,26.96718976035851,464105.0672,486010.89035291097,4.720013785902266
1,Choco Truffle Cake,totalValue,CV-0,0,2025-03-17,AutoETS,9675.792224456583,11144.180817887642,26.552231821250356,464105.0672,479939.6984666324,3.4118634735372715
1,Choco Truffle Cake,totalValue,CV-0,0,2025-03-17,Croston,9883.924189351377,11216.232840551258,27.10183224543019,464105.0672,486974.5588800765,4.927653950871692
1,Choco Truffle Cake,totalValue,CV-0,0,2025-03-17,LightGBM,10861.316137315695,11604.374547808164,29.553194822075373,464105.0672,520177.16565849824,12.081768207528471
2,Pineapple Cake,totalValue,CV-0,0,2025-03-17,Prophet,5404.130498960009,6761.590960848543,30.764542983722997,236522.18,267884.3329614815,13.259709073153934
2,Pineapple Cake,totalValue,CV-0,0,2025-03-17,AutoARIMA,4923.52771587696,6219.342306820386,26.15755169025688,236522.18,206693.42897932007,-12.611396961029161
2,Pineapple Cake,totalValue,CV-0,0,2025-03-17,AutoETS,5883.341561627602,7491.8030181299155,34.39503459652515,236522.18,194566.20801213363,-17.73870509221011
2,Pineapple Cake,totalValue,CV-0,0,2025-03-17,Croston,5877.925662375176,7487.475607019743,34.35951589276938,236522.18,194696.96329408506,-17.683422631194645
2,Pineapple Cake,totalValue,CV-0,0,2025-03-17,LightGBM,15545.751398091881,16913.032204870746,102.63954403989143,236522.18,295120.75073879084,24.775084830856393
3,Fresh Fruit Cake,totalValue,CV-0,0,2025-03-17,Prophet,8503.926201746757,8901.136099195684,70.2170851024812,104236.48,214787.52062270787,106.05791813260375
3,Fresh Fruit Cake,totalValue,CV-0,0,2025-03-17,AutoARIMA,5491.773827124945,5739.778566884218,52.015252789578305,104236.48,175629.5397526243,68.49143385561783
3,Fresh Fruit Cake,totalValue,CV-0,0,2025-03-17,AutoETS,3181.326650643635,3619.9502959476076,35.2299612079705,104236.48,144786.29599541938,38.901751090807544
3,Fresh Fruit Cake,totalValue,CV-0,0,2025-03-17,Croston,2941.7517169791167,3326.4043730928815,33.17021565138577,104236.48,140287.6111299412,34.58590613376544
3,Fresh Fruit Cake,totalValue,CV-0,0,2025-03-17,LightGBM,18102.584332167527,22889.838026754787,95.16120956426685,104236.48,319329.5620709448,206.3510606564466
4,Ferrero Rocher Cake,totalValue,CV-0,0,2025-03-17,Prophet,1559.0547482554562,2292.6725783035376,29.600628285672535,70684.37,90749.14020057098,28.38643139999831
4,Ferrero Rocher Cake,totalValue,CV-0,0,2025-03-17,AutoARIMA,2996.792144088068,3576.6808958008155,46.665456779461735,70684.37,109642.66787314489,55.11585923895891
4,Ferrero Rocher Cake,totalValue,CV-0,0,2025-03-17,AutoETS,3031.265249348991,3607.884956252489,47.0241784450363,70684.37,110090.81824153688,55.749875455545386
4,Ferrero Rocher Cake,totalValue,CV-0,0,2025-03-17,Croston,1379.321064135591,1765.3054199434785,27.709190652916345,70684.37,78218.1898389149,10.658395680565455
4,Ferrero Rocher Cake,totalValue,CV-0,0,2025-03-17,LightGBM,1064.25693231432,1330.8499168350934,22.102535624349812,70684.37,68772.54724011877,-2.7047319794761173
5,Belgium Choco Mousse Cake,totalValue,CV-0,0,2025-03-17,Prophet,3531.6636156538716,4343.519182001009,37.56316903701527,116446.50720000002,151605.6132578176,30.193353929827083
5,Belgium Choco Mousse Cake,totalValue,CV-0,0,2025-03-17,AutoARIMA,3556.3224344401383,4480.907885147168,40.403217543690076,116446.50720000002,125287.59643307736,7.592403967851544
