rank,product,metric,unit,actual_sum,point_sum,safety_sum,point_sMAPE,point_MAE,point_SumPctErr,safety_SumPctErr,safety_coverage_pct
1,Choco Truffle Cake,totalValue,INR,353468.85,459958.52565709065,597946.0833542179,31.210511518952455,8854.395034992996,30.127032596250185,69.16514237512527,100.0
1,Choco Truffle Cake,qty,units,2611.0,3494.7977533476123,4543.237079351897,32.47808652893754,69.70281234806951,33.849013916032646,74.00371809084247,100.0
2,Pineapple Cake,totalValue,INR,118198.64,153332.056491215,199331.67343857948,32.44763436050479,3110.924233363936,29.724044617784926,68.64125800312041,100.0
2,Pineapple Cake,qty,units,721.0,982.9580823932678,1277.845507111248,36.39512287187068,21.808418588990573,36.33260504760996,77.23238656189292,100.0
3,Fresh Fruit Cake,totalValue,INR,117903.69,153201.8420857449,199162.39471146843,27.870488587439908,2715.2424681342227,29.93812329855401,68.91956028812027,100.0
3,Fresh Fruit Cake,qty,units,658.0,885.7558167110832,1151.4825617244076,31.247600171813282,17.51967820854484,34.61334600472389,74.99734980614096,100.0
4,Ferrero Rocher Cake,totalValue,INR,175205.99999999997,174110.07267155396,226343.09447302017,30.11428405588824,3832.6659605233485,-0.6255078755556357,29.186839761777684,84.61538461538461
4,Ferrero Rocher Cake,qty,units,555.0,526.8922125419979,684.9598763045972,29.87788395190084,12.036140754189363,-5.064466208649031,23.41619392875625,76.92307692307693
5,Belgium Choco Mousse Cake,totalValue,INR,59413.79,96302.96592355841,125193.85570062589,53.61465690515884,2837.6289171967987,62.08857560434776,110.715148285652,100.0
5,Belgium Choco Mousse Cake,qty,units,232.0,332.8809595259826,432.7452473837775,46.541086103683476,8.711045660839519,43.48317220947525,86.52812387231789,100.0
6,Biscoff Jar Cake,totalValue,INR,66141.08,68769.01800766565,89399.72340996539,30.730790795951275,1561.0933374141832,3.973231171407622,35.16520052282996,76.92307692307693
6,Biscoff Jar Cake,qty,units,672.0,705.334844505799,916.9352978575387,31.469648992276017,16.213044577026018,4.960542337172465,36.448705038324206,76.92307692307693
7,Dream Cake,totalValue,INR,67150.49,95496.73278916893,124145.75262591959,39.05884850333903,2246.579826513954,42.2130095985434,84.87691247810638,100.0
7,Dream Cake,qty,units,395.0,499.47240732123055,649.3141295175999,29.44015411832051,9.048499884813827,26.44871071423558,64.3833239285063,100.0
8,Tiramisu Cake,totalValue,INR,58747.6,67332.48565116736,87532.23134651758,35.61728593643216,1608.9176819872,14.613168284606278,48.9971187699882,92.3076923076923
8,Tiramisu Cake,qty,units,310.0,348.01939029809205,452.4252073875197,34.32613836711679,8.142585511777874,12.264319450997435,45.943615286296684,76.92307692307693
9,Butterscotch Cake,totalValue,INR,38161.399999999994,73610.12885223489,95693.16750790537,71.89197702377678,2771.897972630674,92.89158377898846,150.75905891268502,100.0
9,Butterscotch Cake,qty,units,327.0,746.8062239352623,970.8480911158414,83.98233405503272,32.29278645655864,128.38110823708328,196.89544070820835,100.0
10,Choco Vanilla Cake,totalValue,INR,31694.89,43921.64972581805,57098.144643563464,41.42167744761857,1105.903535694452,38.576438428459774,80.1493699569977,100.0
10,Choco Vanilla Cake,qty,units,254.0,301.31895748151294,391.7146447259668,31.95155590785999,6.326820724086334,18.629510819493284,54.21836406534128,92.3076923076923
