rank,product,metric,model,MAE,RMSE,sMAPE,ActualSum,ForecastSum,SumPctErr
1,Choco Truffle Cake,totalValue,Prophet,22470.679698183998,23854.576120659847,60.37644713512018,353468.85,645587.6860763918,82.64344540583757
1,Choco Truffle Cake,totalValue,AutoARIMA,8689.111619147057,10483.557111688628,30.54662023623007,353468.85,464265.81271710055,31.345608733867376
1,Choco Truffle Cake,totalValue,AutoETS,8794.671435698121,10927.496061686428,31.05142525856562,353468.85,458837.04918144236,29.809755281531142
1,Choco Truffle Cake,totalValue,Croston,8854.395034992996,10991.635438054562,31.210511518952455,353468.85,459958.52565709065,30.127032596250185
1,Choco Truffle Cake,qty,Prophet,88.35603736676067,96.17648751186387,38.6355397918219,2611.0,3632.813884016758,39.134963003322795
1,Choco Truffle Cake,qty,AutoARIMA,72.83166701151055,101.92845003606458,29.97704412390244,2611.0,3380.6168583272542,29.47594248668151
1,Choco Truffle Cake,qty,AutoETS,73.1540123941062,88.70952168535086,33.68595652210814,2611.0,3547.820735873086,35.879767746958485
1,Choco Truffle Cake,qty,Croston,69.70281234806951,85.42931847187917,32.47808652893754,2611.0,3494.7977533476123,33.849013916032646
2,Pineapple Cake,totalValue,Prophet,15400.281562645063,15803.493573128962,92.63402732768017,118198.64,318402.3003143858,169.37898804452044
2,Pineapple Cake,totalValue,AutoARIMA,2814.3213505258586,3407.1802812094047,29.81608696459678,118198.64,148740.8026801218,25.839690439857677
2,Pineapple Cake,totalValue,AutoETS,3059.2069752661005,3600.261701140744,32.03924245830771,118198.64,152083.4541171387,28.66768527720682
2,Pineapple Cake,totalValue,Croston,3110.924233363936,3670.39553848928,32.44763436050479,118198.64,153332.056491215,29.724044617784926
2,Pineapple Cake,qty,Prophet,30.412021871598633,34.001063003592954,46.10341916367843,721.0,1100.9859957505225,52.70263463946221
2,Pineapple Cake,qty,AutoARIMA,24.985503697343038,29.427784632362407,40.05489323630306,721.0,1044.1271940550594,44.81653176907897
2,Pineapple Cake,qty,AutoETS,21.560292596160373,25.53390676533164,36.08994863399634,721.0,978.2988276390112,35.6863838611666
2,Pineapple Cake,qty,Croston,21.808418588990573,25.812711529704266,36.39512287187068,721.0,982.9580823932678,36.33260504760996
3,Fresh Fruit Cake,totalValue,Prophet,4397.694169743884,4912.100409187873,40.48068504316316,117903.69,175073.7142066705,48.48874891589101
3,Fresh Fruit Cake,totalValue,AutoARIMA,6321.449338863166,6572.893925241083,53.045733195054304,117903.69,200082.53140522112,69.69997411041258
3,Fresh Fruit Cake,totalValue,AutoETS,2874.990170838594,3421.2635658657323,29.17524418214621,117903.69,155278.5622209017,31.699493222732627
3,Fresh Fruit Cake,totalValue,Croston,2715.2424681342227,3288.16325103566,27.870488587439908,117903.69,153201.8420857449,29.93812329855401
3,Fresh Fruit Cake,qty,Prophet,13.873780427301439,16.35030891578149,26.003212968816204,658.0,806.4776397999688,22.56499085105908
3,Fresh Fruit Cake,qty,AutoARIMA,12.601448060987488,14.203347549126676,22.986539572134078,658.0,790.5142456514824,20.13894310812802
3,Fresh Fruit Cake,qty,AutoETS,15.963343799104884,18.969297889173014,29.013080126028612,658.0,865.5234693883638,31.53852118364191
3,Fresh Fruit Cake,qty,Croston,17.51967820854484,20.296429284254025,31.247600171813282,658.0,885.7558167110832,34.61334600472389
4,Ferrero Rocher Cake,totalValue,Prophet,4243.745181213106,5337.097823306849,32.73847396779293,175205.99999999997,201086.60404560532,14.771528398345577
4,Ferrero Rocher Cake,totalValue,AutoARIMA,3922.2996039426002,5141.284831686295,30.936299846305953,175205.99999999997,172977.45455941488,-1.2719572620715562
4,Ferrero Rocher Cake,totalValue,AutoETS,3846.6583028481527,5270.080960768804,30.249055114632924,175205.99999999997,171745.36681866198,-1.975179606484935
