#,Product,KIT SKU,KIT Name,Ingredient,Qty,UOM,Type
115,Milk Chocolate & Motichoor Tres leches,KIT103,Milk Chocolate & Motichoor Tres leches (DR) — kit,Acrylic Dessert Cup 95*95*62 (Pcs),1,count,PACKAGING
116,Milk Chocolate Bento Cake,KIT104,Milk Chocolate Bento Cake (CF) — kit,Choco Coated Rice Crispy-3Mm,1,gram,INGREDIENT
116,Milk Chocolate Bento Cake,KIT104,Milk Chocolate Bento Cake (CF) — kit,Bento Cake Base (Pcs),1,count,PACKAGING
117,Milk Chocolate Verrine Cup (No Added Sugar),KIT105,Milk Chocolate Verrine Cup (No added Sugar) (DR) — kit,Water,4.17,gram,INGREDIENT
117,Milk Chocolate Verrine Cup (No Added Sugar),KIT105,Milk Chocolate Verrine Cup (No added Sugar) (DR) — kit,Milk chocolate - Sugar Free,41.11,gram,INGREDIENT
117,Milk Chocolate Verrine Cup (No Added Sugar),KIT105,Milk Chocolate Verrine Cup (No added Sugar) (DR) — kit,Fresh Cream,29.64,ml,INGREDIENT
117,Milk Chocolate Verrine Cup (No Added Sugar),KIT105,Milk Chocolate Verrine Cup (No added Sugar) (DR) — kit,Chocolate Premix - Sugar Free,8.33,gram,INGREDIENT
117,Milk Chocolate Verrine Cup (No Added Sugar),KIT105,Milk Chocolate Verrine Cup (No added Sugar) (DR) — kit,Nescafe Classic,1.01,gram,INGREDIENT
117,Milk Chocolate Verrine Cup (No Added Sugar),KIT105,Milk Chocolate Verrine Cup (No added Sugar) (DR) — kit,Almond,5,gram,INGREDIENT
117,Milk Chocolate Verrine Cup (No Added Sugar),KIT105,Milk Chocolate Verrine Cup (No added Sugar) (DR) — kit,Refined Oil,0.42,ml,INGREDIENT
117,Milk Chocolate Verrine Cup (No Added Sugar),KIT105,Milk Chocolate Verrine Cup (No added Sugar) (DR) — kit,Rich Topping White Cream,35.34,gram,INGREDIENT
118,Milk Ganache (FC),KIT082,MILK Chocolate Ganache — kit,Fresh Cream,4,ltr,INGREDIENT
118,Milk Ganache (FC),KIT082,MILK Chocolate Ganache — kit,Unsalted Butter,300,gram,INGREDIENT
118,Milk Ganache (FC),KIT082,MILK Chocolate Ganache — kit,Vanleer Milk Compound,4,kg,INGREDIENT
118,Milk Ganache (FC),KIT082,MILK Chocolate Ganache — kit,Van Houtan Milk Chocolate,2,kg,INGREDIENT
119,Millionaire Brownie,KIT106,Millionaire Brownie(Cf) — kit,White Compound,200,gram,INGREDIENT
120,Modak Set of 9,KIT016,Biscoff Modak — kit,Milk,6.6,ml,INGREDIENT
120,Modak Set of 9,KIT016,Biscoff Modak — kit,Unsalted Butter,2.2,gram,INGREDIENT
120,Modak Set of 9,KIT016,Biscoff Modak — kit,Biscoff Crumb,1,gram,INGREDIENT
120,Modak Set of 9,KIT016,Biscoff Modak — kit,Milk Powder,12.4,gram,INGREDIENT
120,Modak Set of 9,KIT016,Biscoff Modak — kit,Coconut Powder,3.3,gram,INGREDIENT
120,Modak Set of 9,KIT016,Biscoff Modak — kit,Sugar Icing,3.5,gram,INGREDIENT
120,Modak Set of 9,KIT016,Biscoff Modak — kit,Biscoff Spread,7.61,gram,INGREDIENT
120,Modak Set of 9,KIT016,Biscoff Modak — kit,Milk,7,ml,INGREDIENT
120,Modak Set of 9,KIT016,Biscoff Modak — kit,Unsalted Butter,2.3,gram,INGREDIENT
120,Modak Set of 9,KIT016,Biscoff Modak — kit,Fresh Cream,1.3,ml,INGREDIENT
120,Modak Set of 9,KIT016,Biscoff Modak — kit,White Compound,3.91,gram,INGREDIENT
120,Modak Set of 9,KIT016,Biscoff Modak — kit,Pistachio Paste,0.39,gram,INGREDIENT
120,Modak Set of 9,KIT016,Biscoff Modak — kit,Pista,1.39,gram,INGREDIENT
120,Modak Set of 9,KIT016,Biscoff Modak — kit,Milk Powder,13.1,gram,INGREDIENT
120,Modak Set of 9,KIT016,Biscoff Modak — kit,Coconut Powder,3.5,gram,INGREDIENT
120,Modak Set of 9,KIT016,Biscoff Modak — kit,Sugar Icing,3.7,gram,INGREDIENT
120,Modak Set of 9,KIT016,Biscoff Modak — kit,Elaichi Powder,0.28,gram,INGREDIENT
120,Modak Set of 9,KIT016,Biscoff Modak — kit,Van Houten Dark Chocolate (46.5%),0.9,gram,INGREDIENT
120,Modak Set of 9,KIT016,Biscoff Modak — kit,Milk,6.6,ml,INGREDIENT
120,Modak Set of 9,KIT016,Biscoff Modak — kit,Unsalted Butter,2.2,gram,INGREDIENT
120,Modak Set of 9,KIT016,Biscoff Modak — kit,Fresh Cream,1.71,ml,INGREDIENT
120,Modak Set of 9,KIT016,Biscoff Modak — kit,Cocoa Powder,1.6,gram,INGREDIENT
120,Modak Set of 9,KIT016,Biscoff Modak — kit,Milk Powder,12.4,gram,INGREDIENT
120,Modak Set of 9,KIT016,Biscoff Modak — kit,Coconut Powder,3.3,gram,INGREDIENT
120,Modak Set of 9,KIT016,Biscoff Modak — kit,Sugar Icing,3.5,gram,INGREDIENT
120,Modak Set of 9,KIT016,Biscoff Modak — kit,Almond-Small Diced,1,gram,INGREDIENT
120,Modak Set of 9,KIT016,Biscoff Modak — kit,Dark Compound,5.5,gram,INGREDIENT
121,Motichoor Cheesecake Slice,KIT107,Motichoor Cheesecake Slice (DR) — kit,Pista,10,gram,INGREDIENT
121,Motichoor Cheesecake Slice,KIT107,Motichoor Cheesecake Slice (DR) — kit,Motichoor Laddu,56,gram,INGREDIENT
121,Motichoor Cheesecake Slice,KIT107,Motichoor Cheesecake Slice (DR) — kit,Rich Topping White Cream,19,gram,INGREDIENT
122,Motichoor Tea Cake,KIT108,Motichoor Tea Cake (PC) — kit,Water,54.45,gram,INGREDIENT
122,Motichoor Tea Cake,KIT108,Motichoor Tea Cake (PC) — kit,Premix-Tea Time Vanilla,45.38,gram,INGREDIENT
122,Motichoor Tea Cake,KIT108,Motichoor Tea Cake (PC) — kit,Melon Seeds,11,gram,INGREDIENT
122,Motichoor Tea Cake,KIT108,Motichoor Tea Cake (PC) — kit,Pista,6.5,gram,INGREDIENT
122,Motichoor Tea Cake,KIT108,Motichoor Tea Cake (PC) — kit,Kesar,0.01,gram,INGREDIENT
122,Motichoor Tea Cake,KIT108,Motichoor Tea Cake (PC) — kit,Sugar Breakfast,54.45,gram,INGREDIENT
122,Motichoor Tea Cake,KIT108,Motichoor Tea Cake (PC) — kit,Maida,54.45,gram,INGREDIENT
122,Motichoor Tea Cake,KIT108,Motichoor Tea Cake (PC) — kit,Motichoor Laddu,71.39,gram,INGREDIENT
122,Motichoor Tea Cake,KIT108,Motichoor Tea Cake (PC) — kit,Refined Oil,54.45,ml,INGREDIENT
122,Motichoor Tea Cake,KIT108,Motichoor Tea Cake (PC) — kit,Glycerine,6.81,gram,INGREDIENT
122,Motichoor Tea Cake,KIT108,Motichoor Tea Cake (PC) — kit,Elaichi Powder,0.01,gram,INGREDIENT
122,Motichoor Tea Cake,KIT108,Motichoor Tea Cake (PC) — kit,Silver Work,0.25,gram,INGREDIENT
123,Muffin Chocolate,KIT109,Muffin Chocolate(Pc) — kit,Water,2.15,kg,INGREDIENT
123,Muffin Chocolate,KIT109,Muffin Chocolate(Pc) — kit,Premix-Tea Time Chocolate,5,kg,INGREDIENT
123,Muffin Chocolate,KIT109,Muffin Chocolate(Pc) — kit,Refined Oil,1.12,ltr,INGREDIENT
123,Muffin Chocolate,KIT109,Muffin Chocolate(Pc) — kit,Muffin Paper Cup Liner Brown (Pcs),201,count,PACKAGING
124,Muffin Red Velvet,KIT110,Muffin Red Velvet(Pc) — kit,Water,660,gram,INGREDIENT
124,Muffin Red Velvet,KIT110,Muffin Red Velvet(Pc) — kit,Premix-Red Velvet,1.35,kg,INGREDIENT
124,Muffin Red Velvet,KIT110,Muffin Red Velvet(Pc) — kit,Refined Oil,270,ml,INGREDIENT
124,Muffin Red Velvet,KIT110,Muffin Red Velvet(Pc) — kit,Muffin Paper Cup Liner White (Pcs),50,count,PACKAGING
125,Muffin Vanilla,KIT111,Muffin Vanilla(Pc) — kit,Water,2.25,kg,INGREDIENT
125,Muffin Vanilla,KIT111,Muffin Vanilla(Pc) — kit,Premix-Tea Time Vanilla,5,kg,INGREDIENT
125,Muffin Vanilla,KIT111,Muffin Vanilla(Pc) — kit,Refined Oil,652.17,ml,INGREDIENT
125,Muffin Vanilla,KIT111,Muffin Vanilla(Pc) — kit,Muffin Paper Cup Liner White (Pcs),174,count,PACKAGING
126,Multigrain Tea Cake (300 gm),KIT112,Multigrain Tea Cake(Pc) (300 GM) — kit,Water,84,gram,INGREDIENT
126,Multigrain Tea Cake (300 gm),KIT112,Multigrain Tea Cake(Pc) (300 GM) — kit,Dvr Multigrain Cake Mix Ef Vanilla,190,gram,INGREDIENT
126,Multigrain Tea Cake (300 gm),KIT112,Multigrain Tea Cake(Pc) (300 GM) — kit,Multigrain Seeds,3,gram,INGREDIENT
126,Multigrain Tea Cake (300 gm),KIT112,Multigrain Tea Cake(Pc) (300 GM) — kit,Refined Oil,73,ml,INGREDIENT
129,Nutella Hazelnut Cake (500 gm(Reg),KIT113,Nutella Hazelnut Cake (Dr) (500 Gm) — kit,Water,12,gram,INGREDIENT
129,Nutella Hazelnut Cake (500 gm(Reg),KIT113,Nutella Hazelnut Cake (Dr) (500 Gm) — kit,Golden Dust (Pcs),0,count,INGREDIENT
129,Nutella Hazelnut Cake (500 gm(Reg),KIT113,Nutella Hazelnut Cake (Dr) (500 Gm) — kit,Fresh Cream,114.9,ml,INGREDIENT
129,Nutella Hazelnut Cake (500 gm(Reg),KIT113,Nutella Hazelnut Cake (Dr) (500 Gm) — kit,Van Houtan Milk Chocolate,79,gram,INGREDIENT
129,Nutella Hazelnut Cake (500 gm(Reg),KIT113,Nutella Hazelnut Cake (Dr) (500 Gm) — kit,Gelatin,4,gram,INGREDIENT
129,Nutella Hazelnut Cake (500 gm(Reg),KIT113,Nutella Hazelnut Cake (Dr) (500 Gm) — kit,Vanilla Essence,2,ml,INGREDIENT
129,Nutella Hazelnut Cake (500 gm(Reg),KIT113,Nutella Hazelnut Cake (Dr) (500 Gm) — kit,Nutella (null),81.72,gram,INGREDIENT
129,Nutella Hazelnut Cake (500 gm(Reg),KIT113,Nutella Hazelnut Cake (Dr) (500 Gm) — kit,Rum,0.2,ml,INGREDIENT
129,Nutella Hazelnut Cake (500 gm(Reg),KIT113,Nutella Hazelnut Cake (Dr) (500 Gm) — kit,Hazelnuts,41,gram,INGREDIENT
129,Nutella Hazelnut Cake (500 gm(Reg),KIT113,Nutella Hazelnut Cake (Dr) (500 Gm) — kit,Rich Topping White Cream,168,gram,INGREDIENT
129,Nutella Hazelnut Cake (500 gm(Reg),KIT113,Nutella Hazelnut Cake (Dr) (500 Gm) — kit,Base 1/2 kg (Pcs),1,count,PACKAGING
130,Nutella Hazelnut Jar Cake,KIT114,Nutella Hazelnut Jar Cake(Cf) — kit,Van Houten Dark Chocolate (46.5%),120,gram,INGREDIENT
130,Nutella Hazelnut Jar Cake,KIT114,Nutella Hazelnut Jar Cake(Cf) — kit,Fresh Cream,233.8,ml,INGREDIENT
130,Nutella Hazelnut Jar Cake,KIT114,Nutella Hazelnut Jar Cake(Cf) — kit,Nutella (null),173.79,gram,INGREDIENT
130,Nutella Hazelnut Jar Cake,KIT114,Nutella Hazelnut Jar Cake(Cf) — kit,Van Houtan Milk Chocolate,48,gram,INGREDIENT
130,Nutella Hazelnut Jar Cake,KIT114,Nutella Hazelnut Jar Cake(Cf) — kit,Hazelnuts,36,gram,INGREDIENT
130,Nutella Hazelnut Jar Cake,KIT114,Nutella Hazelnut Jar Cake(Cf) — kit,Rich Topping White Cream,279,gram,INGREDIENT
130,Nutella Hazelnut Jar Cake,KIT114,Nutella Hazelnut Jar Cake(Cf) — kit,Salsa Jar 350 ml (Pcs),6,count,PACKAGING
132,Occasions Bento Cake,KIT116,Occasions Bento Cake (CF) — kit,Raspberry Chocolate,39,gram,INGREDIENT
132,Occasions Bento Cake,KIT116,Occasions Bento Cake (CF) — kit,Fresh Cream,23.9,ml,INGREDIENT
132,Occasions Bento Cake,KIT116,Occasions Bento Cake (CF) — kit,Pista Chocolate,6.5,gram,INGREDIENT
132,Occasions Bento Cake,KIT116,Occasions Bento Cake (CF) — kit,Rich Topping White Cream,8.72,gram,INGREDIENT
132,Occasions Bento Cake,KIT116,Occasions Bento Cake (CF) — kit,Bento Cake Base (Pcs),1,count,PACKAGING
133,Occasions Cup cakes Set of 4,KIT024,Buttercream Cup cake — kit,Rich Better Cream,50,gram,INGREDIENT
133,Occasions Cup cakes Set of 4,KIT024,Buttercream Cup cake — kit,Unsalted Butter,50,gram,INGREDIENT
133,Occasions Cup cakes Set of 4,KIT024,Buttercream Cup cake — kit,Filling- Blueberry Fruit (2.7 KG),16,gram,INGREDIENT
133,Occasions Cup cakes Set of 4,KIT024,Buttercream Cup cake — kit,Sugar Icing,10,gram,INGREDIENT
134,Opera Cake (500 gm(Reg),KIT117,Opera Cake(Dr)  (500 GM) — kit,Golden Dust (Pcs),0.08,count,INGREDIENT
134,Opera Cake (500 gm(Reg),KIT117,Opera Cake(Dr)  (500 GM) — kit,Unsalted Butter,917,gram,INGREDIENT
134,Opera Cake (500 gm(Reg),KIT117,Opera Cake(Dr)  (500 GM) — kit,Egg (Pcs),2.5,count,INGREDIENT
134,Opera Cake (500 gm(Reg),KIT117,Opera Cake(Dr)  (500 GM) — kit,Vanilla Essence,17,ml,INGREDIENT
134,Opera Cake (500 gm(Reg),KIT117,Opera Cake(Dr)  (500 GM) — kit,Nescafe Classic,83,gram,INGREDIENT
134,Opera Cake (500 gm(Reg),KIT117,Opera Cake(Dr)  (500 GM) — kit,Sugar Breakfast,900,gram,INGREDIENT
135,Opera Pastry (-(Reg),KIT118,Opera Pastry(Dr) — kit,Golden Dust (Pcs),0.08,count,INGREDIENT
135,Opera Pastry (-(Reg),KIT118,Opera Pastry(Dr) — kit,Unsalted Butter,917,gram,INGREDIENT
135,Opera Pastry (-(Reg),KIT118,Opera Pastry(Dr) — kit,Egg (Pcs),2.5,count,INGREDIENT
135,Opera Pastry (-(Reg),KIT118,Opera Pastry(Dr) — kit,Vanilla Essence,17,ml,INGREDIENT
135,Opera Pastry (-(Reg),KIT118,Opera Pastry(Dr) — kit,Nescafe Classic,83,gram,INGREDIENT
135,Opera Pastry (-(Reg),KIT118,Opera Pastry(Dr) — kit,Sugar Breakfast,900,gram,INGREDIENT
137,Oreo Baked Cheesecake Slice,KIT119,Oreo Bake Cheesecake Slice(Dr) — kit,Rich Topping White Cream,106,gram,INGREDIENT
138,Oreo Jar Cake (Pack of 6),KIT136,Sponge-Chocolate — kit,Premix-Classic Chocolate,1.21,kg,INGREDIENT
138,Oreo Jar Cake (Pack of 6),KIT136,Sponge-Chocolate — kit,Water,1.33,kg,INGREDIENT
138,Oreo Jar Cake (Pack of 6),KIT136,Sponge-Chocolate — kit,Eggfree Chocolate Premix,1.21,kg,INGREDIENT
138,Oreo Jar Cake (Pack of 6),KIT136,Sponge-Chocolate — kit,Refined Oil,236,ml,INGREDIENT
139,Overloaded Choco Chip Cup Cake,KIT120,Overloaded Choco Chip Cup Cake(Cf) — kit,Choco Chips,20,gram,INGREDIENT
141,Pineapple Cake (500 gm),KIT121,Pineapple Cake(Cf) (500 gm) — kit,Delta Hot Glaze,209,gram,INGREDIENT
141,Pineapple Cake (500 gm),KIT121,Pineapple Cake(Cf) (500 gm) — kit,Rich Wilber 35% Dairy Cream,209,gram,INGREDIENT
141,Pineapple Cake (500 gm),KIT121,Pineapple Cake(Cf) (500 gm) — kit,Rich Topping White Cream,1.2,kg,INGREDIENT
141,Pineapple Cake (500 gm),KIT121,Pineapple Cake(Cf) (500 gm) — kit,Base 1/2 kg (Pcs),11,count,PACKAGING
142,Pineapple Pastry,KIT122,Pineapple Pastry(Cf) — kit,Delta Hot Glaze,162,gram,INGREDIENT
142,Pineapple Pastry,KIT122,Pineapple Pastry(Cf) — kit,Rich Wilber 35% Dairy Cream,108,gram,INGREDIENT
142,Pineapple Pastry,KIT122,Pineapple Pastry(Cf) — kit,Topfill Pineapple,800,gram,INGREDIENT
142,Pineapple Pastry,KIT122,Pineapple Pastry(Cf) — kit,Delta Pineapple Puree,16.2,gram,INGREDIENT
142,Pineapple Pastry,KIT122,Pineapple Pastry(Cf) — kit,Rich Topping White Cream,1.19,kg,INGREDIENT
143,Piping with Cream,KIT123,Piping With Cream(Cf) — kit,Rich Topping White Cream,106,gram,INGREDIENT
144,Pista Tres Leches (Pcs),KIT125,Pista Tres Leches(Dr) — kit,Fresh Cream,34.9,ml,INGREDIENT
144,Pista Tres Leches (Pcs),KIT125,Pista Tres Leches(Dr) — kit,Milk,80,ml,INGREDIENT
144,Pista Tres Leches (Pcs),KIT125,Pista Tres Leches(Dr) — kit,Pista Essence,1,ml,INGREDIENT
144,Pista Tres Leches (Pcs),KIT125,Pista Tres Leches(Dr) — kit,Rich Wilber 35% Dairy Cream,6,gram,INGREDIENT
144,Pista Tres Leches (Pcs),KIT125,Pista Tres Leches(Dr) — kit,Milk Maid,17.47,gram,INGREDIENT
144,Pista Tres Leches (Pcs),KIT125,Pista Tres Leches(Dr) — kit,Pista,5,gram,INGREDIENT
144,Pista Tres Leches (Pcs),KIT125,Pista Tres Leches(Dr) — kit,Rich Topping White Cream,6.6,gram,INGREDIENT
144,Pista Tres Leches (Pcs),KIT125,Pista Tres Leches(Dr) — kit,Acrylic Dessert Cup 95*95*62 (Pcs),1,count,PACKAGING
145,Plum Cake,KIT126,Plum Cake 100 gm — kit,Water,23,gram,INGREDIENT
145,Plum Cake,KIT126,Plum Cake 100 gm — kit,Plum Cake Premix,50,gram,INGREDIENT
145,Plum Cake,KIT126,Plum Cake 100 gm — kit,Almond Flex,1,gram,INGREDIENT
145,Plum Cake,KIT126,Plum Cake 100 gm — kit,Potassium Sorbate,0.1,gram,INGREDIENT
145,Plum Cake,KIT126,Plum Cake 100 gm — kit,Tooty Fruiti,2.2,gram,INGREDIENT
145,Plum Cake,KIT126,Plum Cake 100 gm — kit,Refined Oil,10,ml,INGREDIENT
145,Plum Cake,KIT126,Plum Cake 100 gm — kit,Mold-Plum Muffin (Pcs),1,count,PACKAGING
146,Plum Cake (800 gm),KIT128,Plum Cake 800 gm — kit,Water,180,gram,INGREDIENT
146,Plum Cake (800 gm),KIT128,Plum Cake 800 gm — kit,Plum Cake Premix,390,gram,INGREDIENT
146,Plum Cake (800 gm),KIT128,Plum Cake 800 gm — kit,Almond Flex,3.1,gram,INGREDIENT
146,Plum Cake (800 gm),KIT128,Plum Cake 800 gm — kit,Potassium Sorbate,1,gram,INGREDIENT
146,Plum Cake (800 gm),KIT128,Plum Cake 800 gm — kit,Tooty Fruiti,6.9,gram,INGREDIENT
146,Plum Cake (800 gm),KIT128,Plum Cake 800 gm — kit,Refined Oil,80,ml,INGREDIENT
146,Plum Cake (800 gm),KIT128,Plum Cake 800 gm — kit,Bakingo Plum Cake(800Gm) Tin Box (Pcs),1,count,PACKAGING
147,Plum Cake 250 gm,KIT127,Plum Cake 250 gm — kit,Water,54,gram,INGREDIENT
147,Plum Cake 250 gm,KIT127,Plum Cake 250 gm — kit,Plum Cake Premix,118,gram,INGREDIENT
147,Plum Cake 250 gm,KIT127,Plum Cake 250 gm — kit,Almond Flex,1.6,gram,INGREDIENT
147,Plum Cake 250 gm,KIT127,Plum Cake 250 gm — kit,Potassium Sorbate,0.3,gram,INGREDIENT
147,Plum Cake 250 gm,KIT127,Plum Cake 250 gm — kit,Tooty Fruiti,3.3,gram,INGREDIENT
147,Plum Cake 250 gm,KIT127,Plum Cake 250 gm — kit,Refined Oil,24,ml,INGREDIENT
147,Plum Cake 250 gm,KIT127,Plum Cake 250 gm — kit,Mold-Tree shape Plum (Pcs),1,count,PACKAGING
148,Rasmalai Cake (500 gm),KIT129,Rasmalai Cake(Cf) (500 gm) — kit,Rasgulla,166,gram,INGREDIENT
148,Rasmalai Cake (500 gm),KIT129,Rasmalai Cake(Cf) (500 gm) — kit,Filling-Vanilla,15.14,gram,INGREDIENT
148,Rasmalai Cake (500 gm),KIT129,Rasmalai Cake(Cf) (500 gm) — kit,Fresh Cream,15,ml,INGREDIENT
148,Rasmalai Cake (500 gm),KIT129,Rasmalai Cake(Cf) (500 gm) — kit,Milk,36.6,ml,INGREDIENT
148,Rasmalai Cake (500 gm),KIT129,Rasmalai Cake(Cf) (500 gm) — kit,Rich Wilber 35% Dairy Cream,45,gram,INGREDIENT
148,Rasmalai Cake (500 gm),KIT129,Rasmalai Cake(Cf) (500 gm) — kit,Kesar Elaichi Paste,0.36,gram,INGREDIENT
148,Rasmalai Cake (500 gm),KIT129,Rasmalai Cake(Cf) (500 gm) — kit,Color-Yellow,0.27,ml,INGREDIENT
148,Rasmalai Cake (500 gm),KIT129,Rasmalai Cake(Cf) (500 gm) — kit,Kesar,0.01,gram,INGREDIENT
148,Rasmalai Cake (500 gm),KIT129,Rasmalai Cake(Cf) (500 gm) — kit,Gold leaf (Pcs),0.01,count,INGREDIENT
148,Rasmalai Cake (500 gm),KIT129,Rasmalai Cake(Cf) (500 gm) — kit,Milk Maid,7.5,gram,INGREDIENT
148,Rasmalai Cake (500 gm),KIT129,Rasmalai Cake(Cf) (500 gm) — kit,Pista,10,gram,INGREDIENT
148,Rasmalai Cake (500 gm),KIT129,Rasmalai Cake(Cf) (500 gm) — kit,Sugar Breakfast,7.6,gram,INGREDIENT
148,Rasmalai Cake (500 gm),KIT129,Rasmalai Cake(Cf) (500 gm) — kit,Glaze Neutral,10.14,gram,INGREDIENT
148,Rasmalai Cake (500 gm),KIT129,Rasmalai Cake(Cf) (500 gm) — kit,Rich Topping White Cream,137,gram,INGREDIENT
148,Rasmalai Cake (500 gm),KIT129,Rasmalai Cake(Cf) (500 gm) — kit,Base 1/2 kg (Pcs),1,count,PACKAGING
149,Rasmalai Tres Leches,KIT130,Rasmalai Tres Leches(Cf) — kit,Fresh Cream,33,ml,INGREDIENT
149,Rasmalai Tres Leches,KIT130,Rasmalai Tres Leches(Cf) — kit,Rasgulla,63,gram,INGREDIENT
149,Rasmalai Tres Leches,KIT130,Rasmalai Tres Leches(Cf) — kit,Milk,83,ml,INGREDIENT
149,Rasmalai Tres Leches,KIT130,Rasmalai Tres Leches(Cf) — kit,Pista Essence,0.1,ml,INGREDIENT
149,Rasmalai Tres Leches,KIT130,Rasmalai Tres Leches(Cf) — kit,Rich Wilber 35% Dairy Cream,5,gram,INGREDIENT
149,Rasmalai Tres Leches,KIT130,Rasmalai Tres Leches(Cf) — kit,Milk Maid,17,gram,INGREDIENT
149,Rasmalai Tres Leches,KIT130,Rasmalai Tres Leches(Cf) — kit,Pista,2,gram,INGREDIENT
149,Rasmalai Tres Leches,KIT130,Rasmalai Tres Leches(Cf) — kit,Almond,3,gram,INGREDIENT
149,Rasmalai Tres Leches,KIT130,Rasmalai Tres Leches(Cf) — kit,Silver Work,1,gram,INGREDIENT
149,Rasmalai Tres Leches,KIT130,Rasmalai Tres Leches(Cf) — kit,Rich Topping White Cream,5,gram,INGREDIENT
149,Rasmalai Tres Leches,KIT130,Rasmalai Tres Leches(Cf) — kit,Acrylic Dessert Cup 95*95*62 (Pcs),1,count,PACKAGING
154,Red Velvet Jar Cake (350 ml) (350 ML),KIT132,Red Velvet Jar Cake (350 ml) (CF) (350 ML) — kit,Sugar Icing,40,gram,INGREDIENT
154,Red Velvet Jar Cake (350 ml) (350 ML),KIT132,Red Velvet Jar Cake (350 ml) (CF) (350 ML) — kit,Rich Topping White Cream,146,gram,INGREDIENT
154,Red Velvet Jar Cake (350 ml) (350 ML),KIT132,Red Velvet Jar Cake (350 ml) (CF) (350 ML) — kit,Delecta Cream Cheese,98,gram,INGREDIENT
154,Red Velvet Jar Cake (350 ml) (350 ML),KIT132,Red Velvet Jar Cake (350 ml) (CF) (350 ML) — kit,Salsa Jar 350 ml (Pcs),6,count,PACKAGING
156,Rose Tres Leches (Pcs),KIT134,Rose Tres Leches(Dr) — kit,Fresh Cream,38,ml,INGREDIENT
156,Rose Tres Leches (Pcs),KIT134,Rose Tres Leches(Dr) — kit,Milk,75,ml,INGREDIENT
156,Rose Tres Leches (Pcs),KIT134,Rose Tres Leches(Dr) — kit,Rose Syrup,15,gram,INGREDIENT
156,Rose Tres Leches (Pcs),KIT134,Rose Tres Leches(Dr) — kit,Milk Maid,21.43,gram,INGREDIENT
156,Rose Tres Leches (Pcs),KIT134,Rose Tres Leches(Dr) — kit,Rose Petal,1,gram,INGREDIENT
156,Rose Tres Leches (Pcs),KIT134,Rose Tres Leches(Dr) — kit,Rich Topping White Cream,15.9,gram,INGREDIENT
156,Rose Tres Leches (Pcs),KIT134,Rose Tres Leches(Dr) — kit,Acrylic Dessert Cup 95*95*62 (Pcs),1,count,PACKAGING
157,Round Dense Loaf Tea cake (300 gm),KIT058,Dense Loaf Tea Cake(Pc) (300 GM) — kit,Premix-Chocolate Tea Cake,161.02,gram,INGREDIENT
157,Round Dense Loaf Tea cake (300 gm),KIT058,Dense Loaf Tea Cake(Pc) (300 GM) — kit,Van Houten Dark Chocolate (46.5%),106.3,gram,INGREDIENT
157,Round Dense Loaf Tea cake (300 gm),KIT058,Dense Loaf Tea Cake(Pc) (300 GM) — kit,Unsalted Butter,41,gram,INGREDIENT
157,Round Dense Loaf Tea cake (300 gm),KIT058,Dense Loaf Tea Cake(Pc) (300 GM) — kit,Milk,64.4,ml,INGREDIENT
157,Round Dense Loaf Tea cake (300 gm),KIT058,Dense Loaf Tea Cake(Pc) (300 GM) — kit,Refined Oil,8,ml,INGREDIENT
158,Set Of 2 Choco Chip Cream Cup Cake,KIT024,Buttercream Cup cake — kit,Rich Better Cream,50,gram,INGREDIENT
158,Set Of 2 Choco Chip Cream Cup Cake,KIT024,Buttercream Cup cake — kit,Unsalted Butter,50,gram,INGREDIENT
158,Set Of 2 Choco Chip Cream Cup Cake,KIT024,Buttercream Cup cake — kit,Filling- Blueberry Fruit (2.7 KG),16,gram,INGREDIENT
158,Set Of 2 Choco Chip Cream Cup Cake,KIT024,Buttercream Cup cake — kit,Sugar Icing,10,gram,INGREDIENT
159,Snicker Chocolate Cake (500 gm),KIT135,Snicker Chocolate Cake(Cf)  (500 GM) — kit,Cadbury Fuse (Pcs),11,count,INGREDIENT
159,Snicker Chocolate Cake (500 gm),KIT135,Snicker Chocolate Cake(Cf)  (500 GM) — kit,Glaze Neutral,110,gram,INGREDIENT
159,Snicker Chocolate Cake (500 gm),KIT135,Snicker Chocolate Cake(Cf)  (500 GM) — kit,Dark Compound,330,gram,INGREDIENT
159,Snicker Chocolate Cake (500 gm),KIT135,Snicker Chocolate Cake(Cf)  (500 GM) — kit,Rich Topping White Cream,385,gram,INGREDIENT
161,Stolen Bread,KIT137,Stolen Bread (PC) — kit,Milk,400,ml,INGREDIENT
161,Stolen Bread,KIT137,Stolen Bread (PC) — kit,Calcium,3.5,gram,INGREDIENT
161,Stolen Bread,KIT137,Stolen Bread (PC) — kit,Dry Yeast,60,gram,INGREDIENT
161,Stolen Bread,KIT137,Stolen Bread (PC) — kit,Glutin,10,gram,INGREDIENT
161,Stolen Bread,KIT137,Stolen Bread (PC) — kit,Salt,16,gram,INGREDIENT
161,Stolen Bread,KIT137,Stolen Bread (PC) — kit,Sugar Icing,320,gram,INGREDIENT
161,Stolen Bread,KIT137,Stolen Bread (PC) — kit,Elaichi Powder,4,gram,INGREDIENT
161,Stolen Bread,KIT137,Stolen Bread (PC) — kit,Unsalted Butter,920,gram,INGREDIENT
161,Stolen Bread,KIT137,Stolen Bread (PC) — kit,Vanilla Essence,5,ml,INGREDIENT
