#,Product Name,UY ID,Final Product SKU,KIT SKU,KIT Name,# Kit Items,Has L1 (Assembly),Has L2 (Final),Issue
55,Chocolate Chip Pastry,4351,1000105,KIT046,Chocolate Chip Pastry(Cf) — kit,3,Y,Y,OK
56,Chocolate Hazelnut Caramel Jar Cake,5718,1000354,KIT047,Chocolate Hazelnut Caramel Jar(Cf) — kit,2,Y,Y,OK
57,Chocolate Jar Cake (180 ML),5720,1000122,KIT049,Chocolate Jar Cake(Cf) — kit,2,Y,Y,OK
58,Chocolate Jar Cake (350 ml) (350 ML),11718,1000123,KIT048,Chocolate Jar Cake (350 Ml) (Cf) (350 ML) — kit,2,Y,Y,OK
59,Chocolate Sugar Free Cake,23340,1003554,KIT052,Chocolate Sugar Free Cake (DR) — kit,4,Y,Y,OK
60,Classic Walnut Brownie,4518,1000340,,,0,Y,Y,NO KIT
61,Coconut Tres Leches,16376,1001938,KIT053,Coconut Tres Leches(Cf) — kit,8,Y,Y,OK
62,Coffee Cup Cake,6011,1000313,KIT054,Coffee Cup Cake(Cf) — kit,3,Y,Y,OK
63,Coffee Milk Chocolate Tub,25557,1004598,KIT055,Coffee Milk Chocolate Tub (DR) — kit,7,Y,Y,OK
64,Coffee Mocha Brownie,14346,1002447,,,0,Y,Y,NO KIT
65,Crunchy Biscuit Cheesecake Slice,4524,1000956,KIT056,Crunchy Biscuit Cheesecake Slice(Dr) — kit,1,Y,Y,OK
66,Dark Chocolate Disc,15347,1004339,,,0,N,Y,NO KIT; NO L1
67,Dense Loaf Tea Cake (300 gm),6013,1000501,KIT058,Dense Loaf Tea Cake(Pc) (300 GM) — kit,5,Y,Y,OK
68,Double Choco Brownie,4520,1000988,,,0,Y,Y,NO KIT
69,Doughnut (Pack of 6),25607,1004868,KIT059,Doughnut — kit,5,Y,Y,OK
70,Dream Cake (500 gm),14807,1001624,KIT060,Dream Cake(Cf)  (500 GM) — kit,4,Y,Y,OK
71,Dubai Kunafa Dream Cake,25537,1004579,KIT061,Dubai Kunafa Dream Cake (DR) — kit,14,Y,Y,OK
72,Eggless Almond Chocolate Barks (100g),23638,1004233,KIT001,Almond Chocolate Caramel Bark(CF) — kit,5,Y,Y,OK
73,Eggless Choco Praline Box (9 Pieces),23637,1004232,KIT075,Hazelnut Praline Sweets — kit,16,Y,Y,OK
74,Eggless Kitkat Brownie,20136,1002459,KIT062,Eggless Kitkat Brownie — kit,3,Y,Y,OK
75,Eggless Milk Chocolate Cake (500 gm),23046,1003515,KIT063,Eggless Milk Chocolate Cake (500gm) (CF) — kit,3,Y,Y,OK
76,Father'S Day Chocolate Raspberry Cake (500 gm),16233,1001796,KIT064,Fathers Day Chocolate Raspberry Cake(Cf)  (500 GM) — kit,5,Y,Y,OK
77,Ferrero Rocher Cake (500 gm),14808,1000084,KIT065,Ferrero Rocher Cake(Cf) (500 GM) — kit,3,Y,Y,OK
78,Filter Coffee Verrine Cup,5763,1000960,KIT067,Filter Coffee Mousse — kit,5,Y,Y,OK
79,Flower Shaped Dessert,52838,1007474,KIT068,Flower Shaped Dessert (DR) — kit,15,Y,Y,OK
80,Fresh Fruit Cake (500 gm),4362,1000028,KIT069,Fresh Fruit Cake(Cf) (500 gm) — kit,10,Y,Y,OK
81,Friendship day Special Cake (500 gm),16454,1002482,KIT070,Friendship Day Special Cake(Cf)  (500 GM) — kit,13,Y,Y,OK
82,Fruit Nut And Cranberry Tea Cake (300 gm),13425,1000500,KIT071,Fruit Nut And Cranberry Tea Cake(Pc) (300 GM) — kit,9,Y,Y,OK
83,German Black Forest Cake (500 gm),4363,1000030,KIT072,German Black Forest Cake (CF) (500 GM) — kit,6,Y,Y,OK
84,German Black Forest Cake (New) (500 gm),4356,1000006,KIT018,Black Forest Cake(Cf) (500 gm) — kit,6,Y,Y,OK
85,Gujiya Tart,29151,1006077,KIT073,Gujiya Tart (PC) — kit,7,Y,Y,OK
86,Hazelnut Chocolate Cake (500 gm),16639,1002368,KIT074,Hazelnut Chocolate Cake(Cf)  (500 GM) — kit,11,Y,Y,OK
87,Heart Shape Choco Strawberry Cake (450 gm),4366,1001143,KIT076,Heart Shaped Choco Strawberry — kit,10,Y,Y,OK
88,Indian Fusion Eggless Fudge Box (9 Pieces),23639,1004234,KIT030,Cashew Caramel Bite — kit,30,Y,Y,OK
89,Kaju Katli Dream Cake,25539,1004577,KIT077,Kaju Katli Dream Cake (DR) — kit,11,Y,Y,OK
90,Kit Kat Pastry,4352,1000106,KIT078,Kit Kat Pastry(Cf) — kit,2,Y,Y,OK
91,Kitkat Cupcake,20137,1002508,KIT079,Kitkat Cupcake — kit,3,Y,Y,OK
92,Kunafa Tub,29525,1006123,KIT080,Kunafa Tub (DR) — kit,2,Y,Y,OK
93,Lemon Cheesecake Verrine Cup,5762,1000951,KIT081,Lemon Cheese Verrine Cup(Lr) — kit,7,Y,Y,OK
94,Mango Baked Cheesecake Slice,5769,1000039,KIT083,Mango Bake Cheese Pastry(Dr) — kit,4,Y,Y,OK
95,Mango Cake (500 gm),4751,1000040,KIT084,Mango Cake(Cf) — kit,5,Y,Y,OK
96,Mango Cheesecake (500 gm),22965,1003450,KIT085,Mango Cheesecake (DR) (600 GM) — kit,3,Y,Y,OK
97,Mango Cheesecake Jar,22967,1003452,KIT086,Mango Cheesecake Jar(PC) — kit,8,Y,Y,OK
98,Mango Chocolate Bento Cake,22971,1003456,KIT087,Mango Chocolate Bento Cake (CF) (500 GM) — kit,3,Y,Y,OK
99,Mango Dark Chocolate Cake (500 gm),22970,1003455,KIT088,Mango Chocolate Cake (CF) (500 GM) — kit,3,Y,Y,OK
100,Mango Dessert,32387,1006740,KIT089,Mango Dessert (DR) — kit,7,Y,Y,OK
101,Mango Kunafa Jar Cake,5765,1000130,KIT090,Mango Kunafa Jar Cake(Cf) — kit,3,Y,Y,OK
102,Mango Mousse Cake (500 gm),22966,1003451,KIT091,Mango Mousse Cake (DR) (500 GM) — kit,7,Y,Y,OK
