rank,product,metric,2026-04-20,2026-04-27,2026-05-04,2026-05-11,2026-05-18,2026-05-25,2026-06-01,2026-06-08,2026-06-15,2026-06-22,2026-06-29,2026-07-06,2026-07-13,2026-07-20,2026-07-27,2026-08-03,2026-08-10,2026-08-17,2026-08-24,2026-08-31,2026-09-07
1,Choco Truffle Cake,qty,,,,,,,,,197.01139328341216,197.01139328341216,197.01139328341216,197.01139328341216,197.01139328341216,197.01139328341216,197.01139328341216,197.01139328341216,197.01139328341216,197.01139328341216,197.01139328341216,197.01139328341216,197.01139328341216
1,Choco Truffle Cake,totalValue,,,,,,,,,26280.96212153755,26280.96212153755,26280.96212153755,26280.96212153755,26280.96212153755,26280.96212153755,26280.96212153755,26280.96212153755,26280.96212153755,26280.96212153755,26280.96212153755,26280.96212153755,26280.96212153755
2,Pineapple Cake,qty,,,,,,,,,52.57386433656105,52.57386433656105,52.57386433656105,52.57386433656105,52.57386433656105,52.57386433656105,52.57386433656105,52.57386433656105,52.57386433656105,52.57386433656105,52.57386433656105,52.57386433656105,52.57386433656105
2,Pineapple Cake,totalValue,,,,,,,,,8329.68721536201,8329.68721536201,8329.68721536201,8329.68721536201,8329.68721536201,8329.68721536201,8329.68721536201,8329.68721536201,8329.68721536201,8329.68721536201,8329.68721536201,8329.68721536201,8329.68721536201
3,Fresh Fruit Cake,qty,,,,,,,,,50.478496979441815,50.478496979441815,50.478496979441815,50.478496979441815,50.478496979441815,50.478496979441815,50.478496979441815,50.478496979441815,50.478496979441815,50.478496979441815,50.478496979441815,50.478496979441815,50.478496979441815
3,Fresh Fruit Cake,totalValue,,,,,,,,,9279.30015235757,9279.30015235757,9279.30015235757,9279.30015235757,9279.30015235757,9279.30015235757,9279.30015235757,9279.30015235757,9279.30015235757,9279.30015235757,9279.30015235757,9279.30015235757,9279.30015235757
4,Ferrero Rocher Cake,qty,,,,,,,,,45.26490502791276,45.26490502791276,45.26490502791276,45.26490502791276,45.26490502791276,45.26490502791276,45.26490502791276,45.26490502791276,45.26490502791276,45.26490502791276,45.26490502791276,45.26490502791276,45.26490502791276
4,Ferrero Rocher Cake,totalValue,,,,,,,,,14270.640118984516,14270.640118984516,14270.640118984516,14270.640118984516,14270.640118984516,14270.640118984516,14270.640118984516,14270.640118984516,14270.640118984516,14270.640118984516,14270.640118984516,14270.640118984516,14270.640118984516
5,Belgium Choco Mousse Cake,qty,,,,,,,,,18.22900273938192,18.22900273938192,18.22900273938192,18.22900273938192,18.22900273938192,18.22900273938192,18.22900273938192,18.22900273938192,18.22900273938192,18.22900273938192,18.22900273938192,18.22900273938192,18.22900273938192
5,Belgium Choco Mousse Cake,totalValue,,,,,,,,,4692.0624165229665,4692.0624165229665,4692.0624165229665,4692.0624165229665,4692.0624165229665,4692.0624165229665,4692.0624165229665,4692.0624165229665,4692.0624165229665,4692.0624165229665,4692.0624165229665,4692.0624165229665,4692.0624165229665
6,Biscoff Jar Cake,qty,45.39020972553374,45.39020972553374,45.39020972553374,45.39020972553374,45.39020972553374,45.39020972553374,45.39020972553374,45.39020972553374,45.39020972553374,45.39020972553374,45.39020972553374,45.39020972553374,45.39020972553374,,,,,,,,
6,Biscoff Jar Cake,totalValue,4543.471199951506,4543.471199951506,4543.471199951506,4543.471199951506,4543.471199951506,4543.471199951506,4543.471199951506,4543.471199951506,4543.471199951506,4543.471199951506,4543.471199951506,4543.471199951506,4543.471199951506,,,,,,,,
7,Dream Cake,qty,,,,,,,,,31.9123802374773,31.9123802374773,31.9123802374773,31.9123802374773,31.9123802374773,31.9123802374773,31.9123802374773,31.9123802374773,31.9123802374773,31.9123802374773,31.9123802374773,31.9123802374773,31.9123802374773
7,Dream Cake,totalValue,,,,,,,,,5428.901813659789,5428.901813659789,5428.901813659789,5428.901813659789,5428.901813659789,5428.901813659789,5428.901813659789,5428.901813659789,5428.901813659789,5428.901813659789,5428.901813659789,5428.901813659789,5428.901813659789
8,Tiramisu Cake,qty,,,,,,,,,22.409227586094293,22.409227586094293,22.409227586094293,22.409227586094293,22.409227586094293,22.409227586094293,22.409227586094293,22.409227586094293,22.409227586094293,22.409227586094293,22.409227586094293,22.409227586094293,22.409227586094293
8,Tiramisu Cake,totalValue,,,,,,,,,4264.770035951273,4264.770035951273,4264.770035951273,4264.770035951273,4264.770035951273,4264.770035951273,4264.770035951273,4264.770035951273,4264.770035951273,4264.770035951273,4264.770035951273,4264.770035951273,4264.770035951273
9,Butterscotch Cake,qty,,,,,,,,,25.002351560472018,25.002351560472018,25.002351560472018,25.002351560472018,25.002351560472018,25.002351560472018,25.002351560472018,25.002351560472018,25.002351560472018,25.002351560472018,25.002351560472018,25.002351560472018,25.002351560472018
9,Butterscotch Cake,totalValue,,,,,,,,,3073.2375290392147,3073.2375290392147,3073.2375290392147,3073.2375290392147,3073.2375290392147,3073.2375290392147,3073.2375290392147,3073.2375290392147,3073.2375290392147,3073.2375290392147,3073.2375290392147,3073.2375290392147,3073.2375290392147
10,Choco Vanilla Cake,qty,,,,,,,,,21.514518195147513,21.514518195147513,21.514518195147513,21.514518195147513,21.514518195147513,21.514518195147513,21.514518195147513,21.514518195147513,21.514518195147513,21.514518195147513,21.514518195147513,21.514518195147513,21.514518195147513
10,Choco Vanilla Cake,totalValue,,,,,,,,,2664.57109114069,2664.57109114069,2664.57109114069,2664.57109114069,2664.57109114069,2664.57109114069,2664.57109114069,2664.57109114069,2664.57109114069,2664.57109114069,2664.57109114069,2664.57109114069,2664.57109114069
